sku,nombre,categoria,unidad,stock,stock_min,precio_venta,costo
CH-001,Chapa galvanizada 1.22x2.44 cal 22,Chapas,unidad,120,50,22500,18500
CH-002,Chapa galvanizada 1.22x2.44 cal 24,Chapas,unidad,80,40,19500,16200
CH-003,Chapa negra 1.22x2.44 cal 16,Chapas,unidad,45,30,28500,24000
CH-004,Chapa perforada 1x2m cal 18,Chapas,unidad,20,15,32400,27500
PR-001,Perfil C 100x50x2mm x 6m,Perfiles,unidad,42,30,28900,24000
PR-002,Perfil C 80x40x1.6mm x 6m,Perfiles,unidad,60,40,18900,15500
PR-003,Perfil U 100x50x2mm x 6m,Perfiles,unidad,35,20,26500,22000
PR-004,Perfil L 25x25x3mm x 6m,Perfiles,unidad,80,50,8500,6800
CB-001,Cable UTP CAT 6 azul x 305mts,Cables,rollo,12,8,42000,35000
CB-002,Cable UTP CAT 5e azul x 305mts,Cables,rollo,18,10,28500,24000
CB-003,Cable UTP CAT 6 exterior negro x 305mts,Cables,rollo,8,5,56000,47000
CB-004,Cable HDMI 2.0 3mts,Cables,unidad,40,20,4500,3500
CB-005,Cable HDMI 2.0 5mts,Cables,unidad,30,15,6800,5500
CB-006,Cable HDMI 2.0 10mts,Cables,unidad,20,10,11500,9500
CB-007,Cable VGA 3mts,Cables,unidad,25,15,3200,2500
CB-008,Fibra optica monomodo 9/125 x km,Fibra,rollo,4,2,185000,158000
CB-009,Patchcord fibra LC-LC 3mts,Fibra,unidad,15,10,12500,9800
CB-010,Cable UTP CAT 6A blindado x 305mts,Cables,rollo,5,3,72000,61000
CN-001,Conector RJ45 CAT 6 x 100u,Conectores,caja,8,4,18500,15000
CN-002,Jack RJ45 CAT 6 keystone blanco,Conectores,unidad,150,80,3200,2500
CN-003,Jack RJ45 CAT 6 keystone negro,Conectores,unidad,200,100,3200,2500
CN-004,Plug RJ45 CAT 6 x 100u,Conectores,caja,5,3,22500,18500
CN-005,Conector BNC para RG59,Conectores,unidad,80,40,1800,1400
CN-006,Capuchon RJ45 x 100u,Conectores,bolsa,6,3,4500,3500
RK-001,Rack de piso 19 42U 600x600,Rack,unidad,3,2,385000,320000
RK-002,Rack de pared 19 12U 550x450,Rack,unidad,6,3,145000,118000
RK-003,Rack de pared 19 6U 350x300,Rack,unidad,8,4,65000,52000
RK-004,Patch panel 24 puertos CAT 6 1U,Rack,unidad,15,8,42500,35000
RK-005,Patch panel 48 puertos CAT 6 1U,Rack,unidad,10,5,78500,65000
RK-006,Organizador de cables 1U con tapa,Rack,unidad,20,10,14500,11800
RK-007,Bandeja fija 1U 250mm para rack,Rack,unidad,25,12,8500,6800
RK-008,Multitoma rackeable 8 tomas 19,Misc,unidad,18,8,12500,9800
SW-001,Switch TP-Link 8 puertos Gigabit no administrable,Redes,unidad,15,8,28500,23500
SW-002,Switch TP-Link 16 puertos Gigabit no administrable,Redes,unidad,8,4,48500,40000
SW-003,Switch TP-Link 24 puertos Gigabit no administrable,Redes,unidad,5,3,72500,61000
SW-004,Switch Cisco SG350-28 24 puertos Gigabit administrable,Redes,unidad,3,2,485000,410000
SW-005,Switch PoE 8 puertos 10/100 + uplink Gigabit,Redes,unidad,12,6,38500,32000
SW-006,Switch PoE+ 16 puertos Gigabit 250W,Redes,unidad,6,3,165000,138000
SW-007,Switch PoE+ 24 puertos Gigabit 400W,Redes,unidad,4,2,265000,225000
SW-008,Switch industrial 8 puertos Gigabit DIN rail,Redes,unidad,5,2,225000,188000
RT-001,Router MikroTik hEX RB750Gr3 5 puertos Gigabit,Redes,unidad,8,4,58500,48000
RT-002,Router MikroTik hAP ax2 WiFi 6,Redes,unidad,6,3,98500,82000
RT-003,Router MikroTik RB4011 10 puertos Gigabit,Redes,unidad,3,2,265000,225000
RT-004,Router TP-Link Archer AX21 WiFi 6,Redes,unidad,5,3,48500,40000
RT-005,Router Ubiquiti UniFi Dream Machine,Redes,unidad,2,1,485000,410000
AP-001,Access Point Ubiquiti UniFi AC Lite,Redes,unidad,10,5,72500,61000
AP-002,Access Point TP-Link EAP245 WiFi N,Redes,unidad,8,4,38500,32000
AP-003,Access Point MikroTik cAP ac WiFi 5,Redes,unidad,6,3,58500,48000
AP-004,Access Point Ubiquiti UniFi 6 LR WiFi 6,Redes,unidad,5,2,145000,118000
FW-001,Firewall MikroTik RB1100AHx4,Redes,unidad,2,1,385000,325000
FW-002,Firewall pfSense Netgate SG-2100,Redes,unidad,2,1,485000,410000
NV-001,NVR Hikvision 8 canales PoE 4K,Seguridad,unidad,5,2,185000,155000
NV-002,NVR Hikvision 16 canales PoE 4K,Seguridad,unidad,3,2,285000,240000
NV-003,NVR Dahua 32 canales 4K,Seguridad,unidad,2,1,425000,358000
CM-001,Camara IP Hikvision 4MP domo PoE,Seguridad,unidad,12,6,38500,32000
CM-002,Camara IP Hikvision 4MP bullet PoE exterior,Seguridad,unidad,15,8,42500,35000
CM-003,Camara IP Dahua 8MP bullet PoE exterior,Seguridad,unidad,8,4,65000,54000
CM-004,Camara IP PTZ Hikvision 4MP 25x zoom PoE,Seguridad,unidad,2,1,385000,325000
CM-005,Camara IP WiFi interior 2MP,Seguridad,unidad,10,5,18500,15000
HD-001,Disco duro Seagate Skyhawk 4TB surveillance,Storage,unidad,8,4,48500,40000
HD-002,Disco duro WD Purple 6TB surveillance,Storage,unidad,5,3,72500,61000
HD-003,Disco duro Seagate Exos 8TB enterprise,Storage,unidad,4,2,118000,98000
HD-004,SSD Kingston 240GB para NVR,Storage,unidad,6,3,18500,15000
SR-001,Servidor HPE ProLiant DL360 Gen10,Servidores,unidad,1,1,1850000,1580000
SR-002,Servidor Dell PowerEdge R750,Servidores,unidad,1,1,2250000,1920000
UP-001,UPS APC Smart 1500VA 900W linea interactiva,Energia,unidad,4,2,145000,118000
UP-002,UPS APC Smart 3000VA 2700W online doble conversion,Energia,unidad,2,1,485000,410000
UP-003,UPS Forza FX-1500LCD 1500VA,Energia,unidad,3,2,85000,71000
RG-001,Regleta de piso 8 tomas con interruptor,Misc,unidad,25,12,4500,3500
RG-002,Estabilizador Forza 1000VA,Misc,unidad,4,2,38500,32000
CB-UPS,Cable UPS C13-C14 1.8mts,Misc,unidad,30,15,2800,2200
CB-PWR,Cable alimentacion 220V 1.8mts,Misc,unidad,50,25,2200,1700
MO-001,Mano de obra instalacion red categoria 6 por boca,Instalacion,boca,0,30,110,55
MO-002,Mano de obra instalacion rack por hora,Instalacion,hora,0,20,4500,2500
MO-003,Mano de obra instalacion camara IP,Instalacion,unidad,0,20,12500,6500
MO-004,Mano de obra configuracion switch administrable,Instalacion,unidad,0,5,28500,15000
MO-005,Mano de obra tendido de fibra optica por metro,Instalacion,metro,0,500,850,400
MO-006,Mano de obra certificacion de cableado x boca,Instalacion,boca,0,50,4500,2000
MO-007,Mantenimiento mensual de red,Instalacion,mes,0,3,28500,12000
MO-008,Visita tecnica sin cargo,Instalacion,visita,0,5,0,0
SV-001,Configuracion de router MikroTik,Servicios,unidad,0,3,18500,9000
SV-002,Configuracion de VPN site-to-site,Servicios,unidad,0,2,48500,24000
SV-003,Capacitacion de usuarios (hasta 10),Servicios,unidad,0,2,28500,14000
SV-004,Auditoria de seguridad informatica,Servicios,unidad,0,1,185000,95000
MO-0001,Cableado estructurado x boca CAT 6 con roseta,Instalacion,boca,0,50,22500,14000
MO-0002,Cableado estructurado x boca CAT 6A blindado,Instalacion,boca,0,30,32500,19500
MO-0003,Canalizacion con canaleta PVC 20x10 x metro,Instalacion,metro,0,200,1800,950
MO-0004,Canalizacion con cablecanal 100x60 x metro,Instalacion,metro,0,100,4500,2400
MO-0005,Instalacion de patchera en rack 24 puertos,Instalacion,unidad,0,10,22500,12000
MO-0006,Certificacion de red con tester Fluke x boca,Instalacion,boca,0,40,5500,2500
MO-0007,Etiquetado de puestos de trabajo,Instalacion,unidad,0,50,1200,500
MO-0008,Instalacion de bandeja portacables 100mm x metro,Instalacion,metro,0,80,6500,3500
MO-0009,Instalacion de patchcord en rack,Instalacion,unidad,0,100,2500,1200
MO-0010,Servicio de mudanza de puesto de trabajo,Servicios,unidad,0,5,12500,6500
